timestamp,actual_aqi,predicted_aqi,error,absolute_error,aqi_range
2026-03-08 14:00:00,83.68710327148438,93.55343504633183,9.866331774847453,9.866331774847453,51-100 Moderate
2026-03-08 15:00:00,83.49842071533203,89.87200646208873,6.373585746756703,6.373585746756703,51-100 Moderate
2026-03-08 16:00:00,83.42766571044922,88.36766811971086,4.940002409261638,4.940002409261638,51-100 Moderate
2026-03-08 17:00:00,83.30974578857422,89.77798050518794,6.468234716613722,6.468234716613722,51-100 Moderate
2026-03-08 18:00:00,83.08175659179688,89.48040028044333,6.398643688646459,6.398643688646459,51-100 Moderate
2026-03-08 19:00:00,82.73584747314453,90.44986024274208,7.714012769597545,7.714012769597545,51-100 Moderate
2026-03-08 20:00:00,82.37421417236328,91.16238237884845,8.788168206485167,8.788168206485167,51-100 Moderate
2026-03-08 21:00:00,82.14622497558594,90.94132979106331,8.795104815477373,8.795104815477373,51-100 Moderate
2026-03-08 22:00:00,82.08333587646484,91.09459521397888,9.011259337514034,9.011259337514034,51-100 Moderate
2026-03-08 23:00:00,82.09119415283203,91.44526069867862,9.354066545846592,9.354066545846592,51-100 Moderate
2026-03-09 00:00:00,82.14622497558594,89.43761986976786,7.29139489418192,7.29139489418192,51-100 Moderate
2026-03-09 01:00:00,82.19339752197266,89.19809703483351,7.004699512860853,7.004699512860853,51-100 Moderate
2026-03-09 02:00:00,82.18553924560547,90.05898888032642,7.873449634720956,7.873449634720956,51-100 Moderate
2026-03-09 03:00:00,82.09119415283203,91.58528011196148,9.49408595912945,9.49408595912945,51-100 Moderate
2026-03-09 04:00:00,82.02043914794922,88.96226476278974,6.941825614840525,6.941825614840525,51-100 Moderate
2026-03-09 05:00:00,81.8553466796875,87.2353140019084,5.379967322220907,5.379967322220907,51-100 Moderate
2026-03-09 06:00:00,81.87893676757812,87.19235339696456,5.313416629386438,5.313416629386438,51-100 Moderate
2026-03-09 07:00:00,82.27987670898438,87.05981189900253,4.779935190018151,4.779935190018151,51-100 Moderate
2026-03-09 08:00:00,83.21540069580078,87.5701845057557,4.354783809954924,4.354783809954924,51-100 Moderate
2026-03-09 09:00:00,84.52043151855469,88.7843993423815,4.2639678238268175,4.2639678238268175,51-100 Moderate
2026-03-09 10:00:00,85.99056243896484,89.70988597566895,3.7193235367041098,3.7193235367041098,51-100 Moderate
2026-03-09 11:00:00,87.5550308227539,90.51131126396358,2.956280441209671,2.956280441209671,51-100 Moderate
2026-03-09 12:00:00,89.2217025756836,92.02272905707055,2.8010264813869554,2.8010264813869554,51-100 Moderate
2026-03-09 13:00:00,90.53459167480469,93.56352740916255,3.0289357343578587,3.0289357343578587,51-100 Moderate
2026-03-09 14:00:00,91.84748840332031,93.26298485319796,1.4154964498776508,1.4154964498776508,51-100 Moderate
2026-03-09 15:00:00,92.91666412353516,90.6160764881572,-2.3005876353779513,2.3005876353779513,51-100 Moderate
2026-03-09 16:00:00,94.11163330078125,88.16856470149995,-5.943068599281304,5.943068599281304,51-100 Moderate
2026-03-09 17:00:00,95.57389831542969,87.40159460872621,-8.172303706703474,8.172303706703474,51-100 Moderate
